shopid,userid
12568,121237391&25000358&32546939&3696991&152462426&3696991&18072608&152462426&10027689&157803072&10027689&157803072&186252585&144237188&157803072&186252585&18144507&177328657&18144507&177328657&180856586&3795241&122832826&3795241&20224230&3795241&20224230&115575112&2382135&14766272&2382135&14766272&96947725&595851&136729582&595851&214581777&595851&149551876&214581777&35176771&39690130&39690130&197885496&342672&39690130&197885496&81068379&214365264&169646256&214704950&66537568&169646256&214704950&17061483&66537568&17061483&71237708&71237708&174618198&42054776&105493120&13437647&42054776&105493120&16802037&45088817&15916678&16802037&45088817&3706558&85050915&163453026&177864673&102028021&201318624&102028021&194036065&127564283&194036065&74389102&127564283&194036065&74389102&127564283&212902156&111967284&141006168&67293504&141006168&67293504&141006168&67293504&141006168&214957141&88314123&105388538&117811678&88314123&105388538&117811678&158094768&106491286&214130856&215000346&889705&106491286&214130856&215000346&7524361&33353659&36638247&50855667&116650104&215308276
13511,8156090&161336735&10461869&35829560&103306757&63658610&2188554&214935619&34148817&200800481&101831434&15651754&120952356&74796691&215241612&122455625&134191748&38155822&204978213&215366562&191920745&139261333&3871590
16107,18931672&155726294&119636432&87678420&8755674&103853623&11964188&51075595&153715275&93887271&11830299&132781333&11830299&132781333&172923155&12207407&57965152&203983986&63592562&159207989&174079568&6532348&43078095&144909921&6532348&36495591&43078095&6532348&36495591&191041932&36495591&83159290&191041932&11918&3685406&214353412&11918&3018254&3685406&214353412&3018254&146742265&160227771&3018254&146742265&160227771&214353412&133774034&181425987&214605402&13727224&29491278&67897737&13727224&29491278&67897737&207830282&13727224&194614460&207830282&13727224&133783888&194614460&207830282&3653951&89065613&215069419&3653951&18113577&89065613&215069419
26133,32449911&60893783
29583,4221085&75380905&136654644&29696494&65490109&136654644&60427587&113497976&215275495&60427587&113497976&215275495&60427587&113497976&214797988&215275495&60427587&113497976&214797988&215275495&60427587&113497976&214797988
30826,214634087&158905868&33068&7437822&183905470&39957608&126260810
30957,6733346&15796601&1797712&54924546&9019320&2574735&176627669&175949887&6494388
42472,740844&2810453&9832146
42818,36133978&96359373&47697776&138570294&195212124&12477329&45334166&132761454&36802240&81098894&81098894&83743634&27318577&83743634&27318577&66789856&27318577&66789856&113677567&46504770&66789856&113677567
45096,24972944&3138234&213400305&173289973&53523703
55590,43656796&191747695&22020159&215264629
56418,77631512&115240956&3492745&205451134&138465254&138465254
76934,190449497&190449497
80108,214316626&173992321&166053089&32269701&102220519&37632171&139564666&156441456&179547560&129432884&173992321&127721956&153929312&94225057&93797860&94225057
94090,85619910&22525413&1124152&22525413
94636,41901907&211424732&21517543&11392536&51352195&80979148
150722,74980600&152743174&14851011&11456677&5430494&35482203&50876956&89679713&161158522&39265453&80888728&99490476
183068,142053673&94006897&90549433&788836&29177639&29177639&170261505&140723337&144407601&53468595&140723337&144407601&53468595&63527040&109714966&128777911&85774090&109714966&128777911&85774090&120408081&183797550&111193686&120408081&210978360&111193686&198508681&203418192&85081094&198508681&6661807&85081094&198508681&116367968&139063250&4504985&116367968&139063250&110308619&183157170&110308619&159945125&183157170&37210472&103843177&83469313&132761454&83469313&132761454&139227253&34115716&144166285&34115716&144166285&163130437&15894038&203541389&15894038&88186591&203541389&195345541&214730673&88589132&195345541&214730673&88589132&195345541&200484178&65176961&200484178&2796681&65176961&200484178&156098495&181292862&92295262&156098495&181292862&15466339&51462165&51462165&155881728&51462165&86344641&155881728&2973390&86344641&155881728&43078095&113178945&198107419&43078095&107133821&113178945&77749096&107133821&113178945&77749096&107133821&193322521&37130630&87980864&88676808&33768171&66674380&173753736&33768171&113178945&173753736&84175506&88082581&127463632&84175506&88082581&127463632&172109940&2973390&142911136&181459643&2973390&142911136&181459643&184355139&2973390&142911136&181459643&184355139&3679069&61235299&181147033&181459643&3679069&61235299&177630905&181147033&181459643&3679069&25082821&61235299&177630905&181147033&181459643&3679069&25082821&61235299&120530806&177630905&181459643&3679069&25082821&120530806&131183480&177630905&181459643
192924,97413748&174636403&83096228&60687022&214003433&128613457&40020543&18111739&214865469&124428391&214991436&9040139&71809112&8170753&16639127&38057484&211083383&85719575&85719575
195531,64871737&405373&405373&9552479&475249&830523&475249&830523&214992524&475249&830523&214992524&475249&830523&214992524&475249&830523&214992524
220988,99643110&53747575
223570,3760541&98324116&11316568&20801694&63719473
226382,15730604&187012564&47745378&143632866&47721876
229055,183091859&46497903&1300599&97036577
238149,11227013
240309,164477934&27567&13219935
257944,76905043&46875705&10180682&59115300&14576313&22390899&435308&610746
299742,214492536&7804135&129376892&159210752&70558793&135597091&144780413&130202314&155655390&75477158&214905977&77417977&104123773&209843041&87980864&163922234&133490820&131375087&131375087&137481819&195940979&17253171&78206613&9205789&167803540&115011834&53707841&133600562&112004698
316121,27009320&37579039&143629552&48468391
328380,9775127&44726617&213271013&84921816&15700396&89317403&76033277
406582,164155370&214640743&68996373&901955&3079326&64433262&212619153&111767676&212619153&111767676&167544538&212619153&111767676&167544538&214946553&80740335&214946553&80740335&180535371&214946553&104625919&204035910&31223563&204035910&31223563&204035910&208793978&6519340&12282583&158123213&12282583&26057464&158123213&3639943&63904133&3639943&63904133&203978512&4258433&91889125&4258433&91889125&204902175&99626555&204902175&13497857&99626555&204902175&75418000&138467800&75418000&138467800&1645523&75418000&138467800&160029416&162617748&178133812&93909090&160029416&162617748&178133812&93909090&160029416&162617748&203602402&123475346&161910208&199092167&26329234&123475346&161910208&199092167&26329234&99982237&123475346&199092167&13497857&143002919&173986255&13497857&143002919&173986255&212200633&13497857&61857803&75710399&143002919&212200633&13497857&61857803&75710399&143002919&212200633
425364,72914921&72914921&72914921
535209,189638179
567545,9996939
599533,264511&215482237&215494507
605561,181682008&61410530&71002287&84281957&61410530&71002287&84281957&166678691
639650,645644&977844&121650441&22647220&22647220&77578757&16790491&46293749&13149188&16790491&46293749&13149188&46293749&122980740&13149188&122980740&149644703&53391900&122980740&149644703&53391900&172693846&1495613&53391900&172693846&1495613&47270147&172693846&9403475&47270147&22105044&68130276
640697,82808960&143054594&172291881&14763584&30793115&30793115&198142&64335888&3905091&140002429&140002429&173747195&42884189&140002429&173747195&172513341&186734714&3797216&22244965&110027996&176382358&21975800&110027996&176382358&23281090&80622104&27201965&113114077&113114077&132183165&113114077&132183165
641249,157487149&123298122&25771601&37167106&582453&18603971&161859904&161859904&2512624&198405162
641804,33545711&91712205&44543078
722132,7670129&66191871&207039551&124178892&213771644&11120410&213771644&11120410&29182094&213771644&11120410&29182094&53124347&78363766&167118002&165368062&167118002&34382755&212489008&28691822&34382755&212489008&7410616&40205196&7410616&40205196&95560357&33390271&100634321&22390899&67212721&22390899&67212721&203644830
731606,75558350
736620,16168236&121093538&115133726&83080462&138288833&75625130&138288833&42884189&62618064&42884189&62618064&42884189&62618064&42884189&62618064
738391,60986689&231042&63535016&103549305
739014,99030602&99030602
749589,9723093&47585492
760726,149049267&32989538&158064343&168900761&61317751&8209309&64554457&104047413&137649220&86147451&189310094&56501232&664517&79144395&99668347&17837965&86147451&51782107&26050934&26050934&20419448&119486134&20419448&28353524&119486134
769445,166269321&8499611&180822756&203727372&56210514&180822756&203727372&20982403&91154703&20982403&91154703&20982403&91154703&167868800&20982403&91154703&167868800&224062&641121&15865730&42912242&202009023&16376868&29299481&91543387&160709922&211953740
798888,29357223&214646658&52905258&42903236&145125293&86203882&214923033&11130025&11130025&95635426&13610121&215403666&428273&212920761&428273&97057210&212920761
801940,59607&23595687&23595687&52833&23595687&52833&23595687&461754&15369226&183833218&461754&4698455&15369226&183833218&461754&4698455&15369226&86042818&183833218&75298&461754&4698455&12290447&15369226&86042818
803386,12088405&183385799&34707870&20215236&20215236
823357,188942105&188942105&188942105&133545410&188942105
869267,172186589
875520,9804016&99052083&79110616
883177,6954519&6954519&823785&188814003&11132244&38571701&1706630&16618849&1706630&16618849&99619632&7986236&8724299
937861,48414041&152352709&152352709
939904,214880177&161402408&180396836&3098590&120075847&204164185&46247912&154170113&154170113&193132977&53518980&79965415
947868,3796213&178420767&112964624&7115473&350003&31127049&88348098&88348098&91712205&114813695
950097,125058891&125058891&125058891&198985826&9488043&113178578&198985826&180048851&182564983&52359544&182564983&3512157&15183979&15183979&106885744&176617190&180570125&15466825&51409972&89804726&15466825&51409972&89804726&130911634&51409972&57412289&89804726&130911634&5287671&57412289&130911634&9488043&56268894&84345884&165315057
998058,10998050&212582037&179986616&49227415&212582037&44791449&204887023&215435624
1011192,156133828&85820&31516469&203533590&153204295&4182690&40710055&98569698&32199303&73326181&53405835&43086319&204106223&1107020&42439889&214905975
1012462,205134250&67778924&3172511&207102192&147745606&179148038
1022508,167846245&112760970&114813796&74422803&157857180&173998407&34345217&133878927
1041321,161285770&38087159&51290496&155253468&30226291&75669364&66993956&51962306&1856517&213623966&143804926&188253744&45292273&181463866&57819000&62810593&23412803&1232407&80723612&113937157&126298123&740051&1667891&98699664&1932532&211296094&196325500
1122108,142673244&190964462&91548229&97278355&1935373
1134916,94107784&104899867
1175477,122277324&17024742&40958505&17024742&39322077&40958505&173105033&193206714&173105033&181833030&193206714&143611438&173105033&181833030&120678329&143611438&120678329&143611438&177109254&27438694&120678329&177109254&27438694&118375615&141099701&88967249&104222902&17548887&88967249&104222902&29399180&125454291&9393955&29399180&125454291&3312121&9393955&29399180&3312121&9393955&157549174&12737869&178859275&12737869&178859275&181157860&156423825&173105033&198302096&108305321&156423825&173105033&198302096&506133&81874328&108305321&40008457&59317609&142962103&200051350
1216922,208244782&154507224&87466200&215242280&215242280
1224830,31449069
1232454,17070042&73017569&71328584&29927169&205321782&6130899&161020164
1268545,71160670&74768187&97403498&188215352&174207123&28080619&28080619
1335777,677460&104876057&63924896&130795878&140014012&140014012
1532569,181408876
1748316,183253023&30941369&206981326&83594658&6318146&127668008&135948703&86879696&47585492&96638385
1770728,95691826&111598527&195276732&213971407&147050237&167029643&197304795&9057838&143186953&215459013&130945111&169559870&169559870&10022557&10022557&41443728
1791624,187237230&174903283&52214109&174903283&11353766&3322959&3322959
1806841,201781611&119919891&47532188&44795621&197602166&70143158&90995495&202396588&1184085&19016050&122463164&13362268&158779169&158779169&192036539&197888977&179169420&214848290&1600537&116624392&1600537&116624392
2015845,213119544&148570870&164821290&162780991&113301475&169827375&169827375
2153811,794856&210846567&9790583&48790678&99976297&48790678&107559035&126507135&64067968&126507135&47776685&116742003&90665345&214448263&42872146&90665345&214448263&10111995&42872146&10111995&42872146&22979&10111995&42872146&58794641&94742132&206010151&51638470&102854697&187089489&141183778&159513124&214598125&1289138&141183778&159513124&214598125&1289138&15906960&141183778&159513124&214598125&1289138&15906960&41238008&152539209&214598125&214606604&147831481&152539209&171790078&214609477&12910076&45059326&58457974&98607447&12910076&45059326&58457974&98607447&164435453&12910076&58457974&164352760&164435453&10622838&165965126&173645786&184843526&10622838&165965126&173645786&184843526&205595536&40689217&58129169&104145881&126069517&40689217&58129169&126069517&209897579&40689217&58129169&102943268&126069517&209897579&150924164&177235055&184119219&213520417&213967788&101496380&150924164&177235055&213520417&213967788&101496380&150924164&177235055&213520417&213967788&2570038&47732057&48414041&49140170&56715834&61157095&214912800&5637041&17132246&50809220&101633688&107194899&146708655&168891049&5637041&17132246&26504023&50809220&101633688&146708655&168891049&17132246&26504023&44270337&46182417&146708655&153277899&177423864&4096507&10111995&44270337&46182417&48696959&153277899&177423864&4096507&10111995&44270337&46182417&48696959&142833014&153277899&177423864&4096507&10111995&44270337&46182417&48696959&142833014&148148071&153277899&177423864&4096507&4806691&10111995&44270337&46182417&48696959&142833014&148148071&153277899&177423864&25203582&67889895&71239487&88832762&134495071&143549624&213520417
2395380,29177639&173420189&181790460&32782224&107502187&140556180&78483503&140784530&12217955&148883366&5045662&52698383&66003813
2497643,78125960&141153321
2601733,35390406&33185930&221086
2626302,135901190&25411682&9423505&155726294&44971100&44971100&102730744
2730790,122491145&36168243&27748642&55053272&155311948&144793763&57914076&65932027&136787081&49506001&18953443&159091508&144534930&86488862&21420557&196530357&30805774&88296894&3538134&57914076&69228591&45401581&69228591&1994394&45401581&69228591&3600263&86665303&21747675&92162108&111816075&174393539&75967578&103312417
2831130,15053804&15053804&15053804
2856708,214411207&71205555&123959597&103862636&92675323&214411207&138033017&85999415&101679271&42743192&2677380&43302334&43302334&123959597
2859407,178867999&1326707&169739416&153387696&53684076&214772057&214772057&25687975&59048505
2889150,200635114&175764919&32217782&186453098&209801359&119437848&172106206&3685406&44811227&35214964&122454754&20148693&110843730&91423439
2951855,1001198&154571428&189032656&179352230&18793588&16749020&37839226&174601939
3020303,41700067&81806579&79865042
3124091,214568881
3215227,18249454
3285661,26333745&19378925&205188286&5575031&4215944&193889958&2801048&103294577
3464036,194690509&212742436&144928412&214366&56493035&97900331&115255412&183379674&158475842&1122922&101183150&21103345&44474002
3536814,71785794&11567869&6066181&2192844&81523593&123861555&99517519&99517519&99517519&127753883&127753883&37417443&127753883&7006388&38432790&98568539&38432790&98568539&100689375&309740&6662062&170993237&6662062&54471326&170993237&6662062&54471326&105304717&170993237&6662062&54471326&88361007&105304717&33046849&88361007&105304717&86142036&95377458&214757209&27697000&95377458&214757209&27697000&115450459&214757209&27697000&115450459&184379501&214757209&115450459&184379501&214757209&273846&115450459&184379501&214757209&273846&14850394&72148738&78838050&12598549&46889424&187696728&31293062&45469234&162426420&31293062&45469234&60201993&162426420&31293062&45469234&60201993&162426420&11369055&17760206&61351343&181716070&11369055&61351343&155300870&181716070&11369055&61351343&72596945&155300870&181716070&61351343&61615702&72596945&155300870&181716070&61615702&72596945&155300870&174929875&181716070&8200541&61615702&72596945&155300870&174929875&181716070&6085429&8182355&116216696&145077173&49511833&58125914&104680199&120968658
3701311,80690628&2324563&15455873&8471651&211055001
3736328,184552763&183812521&56912229&130760404&35313706&66775640&29326676&120462946&19516017&47557034
3740215,26194604&38856064&103248274&40475760&214642662&176645477&204390808&160944399&176645477&204390808&156822972&160944399&204390808&177191548&197849641&121335661&177191548&197849641&121335661&147167688&177191548&98032079&147167688&95944351&133077506&10797120&95944351&133077506&33060022&124038182&4014354&16676588&131657673&210832788&75519588&123197691&75519588&104079820&123197691&5074266&104079820&123197691&9585434&109549497&19609&46989500&19609&46989500&190902274&19609&5221078&190902274&5221078&30534780&190902274&5221078&12017302&30534780&1054858&3763841&21547871&1054858&1336779&3763841&21547871&34093323&119822909&149976078&103644382&138777547&209164012&25931282&138777547&209164012
3861712,6121952&14346111&102618449
3902055,125094526&133029798&188748367&44679776&187612501&1702201&183793396&19984378&57132874&75600864&53948879&166431750&29250462&201289968
3904961,821666
3923092,115489320&71559643
3937614,177445708
3983267,16960529&120052245&181580471&30965044&102659725&1035062&103645929&158983054&83001295&47879299&927595&170973468&131900737&69083476&60635183&73971011&4061704&8940774&4784447&77424599&208960197&49412705&215132467&96621154&81381781&21644043&28190575&100555714&19472941&18113577&97803960&78503809&7368367&96961464&48699979&181338311&94836312&181338311&10647074&26692757&10647074&26692757&174601939
4043412,47675995
4149345,155206254&167671249&111390210&167671249&7257553&113840566&112794128&173147665&14813915&112794128&173147665&137526578&209766096&80962385&137526578&209766096&80962385&137526578&209766096&47004467&200670454&42708929&105733799&200670454&42708929&105733799&153017050&21791900&45952486&153017050&34306383&150474320&209222100&48027951&150474320&209222100&51953298&94397554&184041294&51953298&94397554&94965181&184041294&51953298&94965181&211221240&29361014&94965181&211221240&29361014&159341722&211221240&29361014&105947071&159341722&93906206&101821577&183801349&93906206&98845901&183801349&93906206&98845901&178960338&183801349&5653856&111831405&151368530&5653856&24888558&111831405&151368530&113415028&185308377&186453098&113415028&185308377&186453098&192963964&140136669&186453098&192963964&330690&65651899&140136669&330690&12210717&65651899&330690&12210717&65651899&72327447&35157716&120672107&214475223&9499711&35157716&120672107&214475223&241114&87333265&90512870&241114&8509544&90512870&241114&8509544&68142072&90512870&77762951&78766444&85726527
4156256,152292010&152292010
4185198,14977046
4298920,86319602&133165937&6086261
4303950,36003146&2112167&1094120&106885672&95489671&95489671&7239570&54024379&7239570&54024379&128692944&20702154&123276261&23709581&27683341&23709581&27683341&206755454&2874983&136704591&58100855&105167124&58100855&105167124&153000724&42884189&175550554&42884189&135512860&175550554&170551&29350844&17207940&60616591&17207940&60616591&111415023&189782&4662610&4662610&43071146&43071146&86381627&43071146&86381627
4315378,99636563&105139177
4323502,113828542&42655880&111445623&75967578&21556519&34107427&34107427
4570538,37379529&37379529&358086&141063596&103243634&141063596&7967759&80666379&87170076
4669871,89334091&119320780&142884495&41222203&35275220
4854168,104780483&155270053&95399773
4888564,143847348
4937640,5710480&133955528&97526902&82521351&117958549&130760042&130900043&2098589&173256748&76910459&190834725&81472405&15607131&1073142&102491894&1120955&54979936&104979995&2845777&174419673&64458972&14395583&200839107&125528374&77692522&55890601&14768477&45544702&99030602&99248028&93053305
4946827,6735976&51200602&38522002&21787380&69698629&3206373&171354991&153032514&34028968&123456521&92096484&60001280&18383679&173382362&173382362&205935609&13578131&129426369&13578131&129426369&188597457&5311502&144406956&188597457&548263&77246553&136650894&204851609
5030008,110971839&123314218&203575407&214630825&214630825&171216477&194624829&159782834&171216477&194624829&32666249&208773974&32666249&208773974&210365279&10446390&210365279&10446390&32149298&210365279&159972281&200015234&10037749&162329123&207537685
5033989,151492322&56669039&56669039
5117820,723515&40615251&41071572&205742&29506958&22886121&88782846&211704389&69424359
5354812,40564368&194058502&15287017&141907011&109885102&112157354&159209401&34892044&59135842&193697877&15456198&190889852&75519000&137464769&11918&215211699&48906320&16535672&192282376&40336728&124796677&136534253&82523818&150677683&3762479&3762479&3762479&77771599
5427594,33073463&212420491&63373167&137034553&157779489
5526137,173865093&62390478&39079413&119232775&135191207&158978343&82749980&27701989&122233815&213324909&90708120&21603653&183874732&156253113&34851822&9998655&207493581&204731765&215232560&197404119&213932303&17512573
5651988,21247215&4098228&46276609
5859784,37986335&208386493&112186204&165176075&82568570&168617697&133863434&179329634&1551661&123969724&26000970&166093334&47588771&188184800&109742811&188184800&109742811&176845620&188184800&109742811&176845620&196387739&16880809&36887070&16880809&119719360&147712&68426323&62185136&68426323&62185136&94534574&62185136&94534574&97462413&136772808&193980991&18508213&136772808&18508213&116317628&103660656&116317628&103660656&116317628&17193797&103660656&116317628&29361014&152556149&203626730&29361014&152556149&186822270&203626730&186822270&203626730&207886298&87377269&186822270&203626730&207886298&82666102&87377269&207886298&74728020&164366194&174850476&74728020&164366194&174850476&212851459&3549356&174850476&212851459&3549356&95732824&212851459&3549356&93199790&95732824&3549356&93199790&95732824&183088463&93199790&95732824&161320905&183088463&402916&489887&209854852&402916&489887&1944671&209854852&21698536&195792852&201834789&1715820&112696476&194788739&112696476&144711370&206198857&14369616&140851850&178100228&181830690&78955387&140851850&178100228&214158236&78955387&87959198&179566914&214158236
6042309,34132265&99531028&45341116&108485738&137313322&128711069&10323447&11936158&31907219&36424308&49729808
6043702,186413566&153100476&13266521&114267097&100976933&8789552&95025859&30754616&60913432&52033714&48835986&2541556&157655835&60143951&6488128&83770695&83770695&69755845&83770695&33452588&186030258&33452588&93500795&186030258&41238008&192372209&73933519&139871221&73933519&139871221&176238054&39385837&63399079&39385837&63399079&66651274&51695729&66651274&34061856&214068868&34061856&145175425&214068868&145175425&170192370&37568749&72596945&72596945&84570885&95455302&184839398&39336690&95455302&184839398&39336690&160778814&15826028&160778814&1978734&15826028&160778814&1978734&90500104&3581581&12930354&3581581&12930354&105658150&52636333&88215380&26587890&52636333&88215380&13658166&42083071&70540468&2286276&43219223&52687802&2286276&52687802&128542701&54175866&81617831&99349876
6072241,5078194&111730234&3769478&29019477&84713425&59220321&133082575&198574682&86427871&78608533&2782299&101327333&213117377
6078026,213030134&181319378&101012156&87528601&150171622&8275084&132923285&211312657&174769745&45920675&129995646&149181659&25509394&61378793&39445331&142964147&174533793
6116640,7620517&95214596&137999&1367473&19042588
6123613,41623895&450816&34132265&11860824&212875191&5856429&10946144&206543&139564666&134313526&95432593&14558982&55559466&103793422&55559466&103793422&52661978&75847517
6275128,79965415
6378187,101183150
6492885,190090427&61848586&46613676&107573520&171615636&88821168&43519195&110949249&18432035
6765647,88800227&740844&29081401&740844&740844&167406429&108003911&195803320&214209607
6890811,35942826&26841178&151313689&208415&9723000&43962848&9893106&29704930&49019147&158957672&105323122&56257484&69776421&102669883&180731768&90849265
6904196,102443278
6940844,189576822&122007852&80852444&103477618&73829954&159732528&7417884&66600049&215389848&21421893
7166715,19588292&99761263&35450256&27410934&206843598&6357569&2076013&215461628&215461628&128503004&215461628
7190564,201263701&4600853&116830592&103534391&110119887&4809539&12098541&111211206&89161533&443822&3602621&44340333&53521752&7587118&181537848&63064696&165802983&199435095&215149923&158853990&156183421&67695014&206214084&206214084&101818476&206214084
7303211,2684043&47001858&94348539&102790044&192496490&197625367
7333722,61979935&132690553&120379012&90142286&31650604&118429921&64858538&136347585&17492340&63154796&214353412&94796592&175961873&66315162&15541867&197418845&107215496&215427313&69977634&69977634&179168326&1840238&201289968&1840238&154001983&201289968
7368228,509753&10908603&125974100&137202234&2063776&62999232&118990380&2372092&2926587&160029416&85406023&154373307&167691005&209617415&192496490
7388858,202532877&162839912&128363841&189953467&198954492&198273348&112000&17528976&185666308&80661730&211525335&211690270&80060796
7424189,38804632
